,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
839,Crucial Technology BLT4LD1869DT2TXOB 4GB,25,10.3,5.2,NA
840,Crucial Technology BLT8G3D1608DT1TX0. 8GB,39,14.9,9.2,$123.27
841,Crucial Technology BLT8G3D1608DT2TXOB 8GB,25,14.4,9.1,$77.16*
842,Crucial Technology BLT8G3D1608DT2TXRG 8GB,36,15.6,9.4,$55.99*
843,Crucial Technology BLT8G3D1608ET3LX0. 8GB,39,15.0,9.1,$130.97
844,Crucial Technology BLT8G3D1869DT1TX0. 8GB,36,15.8,10.1,$145.98
845,Crucial Technology BLT8G3D21BCT1.16FN 8GB,78,6.3,4.5,NA
846,Crucial Technology CT102464BA1339.C16 8GB,40,14.2,8.1,$19.81
847,Crucial Technology CT102464BA1339.M16 8GB,27,12.5,7.4,$37.99*
848,Crucial Technology CT102464BA160B-16F 8GB,67,6.6,3.5,NA
849,Crucial Technology CT102464BA160B.16F 8GB,26,14.1,9.6,$11.76
850,Crucial Technology CT102464BA160B.C16 8GB,41,14.9,9.5,$50.39*
851,Crucial Technology CT102464BA160B.M16 8GB,40,14.3,9.5,$69.99*
852,Crucial Technology CT102464BD160B 8GB,28,15.3,10.2,$80.98
853,Crucial Technology CT102464BD160B.C16 8GB,42,14.7,9.5,$11.85
854,Crucial Technology CT102464BD160B.M16 8GB,43,14.6,9.6,$29.99*
855,Crucial Technology CT102464BD186D 8GB,24,13.9,10.4,NA
856,Crucial Technology CT102464BD186D.C16 8GB,73,6.4,4.5,$23.71
857,Crucial Technology CT102464BD186D.M16 8GB,43,12.7,9.5,$60.12*
858,Crucial Technology CT102464BF1339.C16 8GB,29,12.2,8.2,$22.99
859,Crucial Technology CT102464BF1339.M16 8GB,30,11.1,7.8,$51.99*
860,Crucial Technology CT102464BF160B-16F 8GB,29,12.8,9.4,NA
861,Crucial Technology CT102464BF160B.16F 8GB,44,14.2,9.1,NA
862,Crucial Technology CT102464BF160B.C16 8GB,44,13.1,9.2,$28.99*
863,Crucial Technology CT102464BF160B.M16 8GB,44,13.3,9.1,$41.99*
864,Crucial Technology CT102464BF160B.T16 8GB,42,13.8,9.1,NA
865,Crucial Technology CT102464BF186D.C16 8GB,32,12.2,8.8,$31.80*
866,Crucial Technology CT102464BF186D.M16 8GB,41,12.4,9.7,NA
867,Crucial Technology CT102464BF186DJ.M8 8GB,30,13.0,8.8,NA
868,Crucial Technology CT12864BA1339.M4FK 1GB,65,6.6,4.7,$21.99*
869,Crucial Technology CT12864BA160B.M4FK 1GB,24,14.6,8.9,$42.99*
870,Crucial Technology CT16G3S186DM.M16FA 16GB,26,14.7,11.8,NA
871,Crucial Technology CT204864BD160B.16F 16GB,68,6.7,5.2,$295.62*
872,Crucial Technology CT204864BD160B.C16 16GB,84,4.1,2.5,NA
873,Crucial Technology CT204864BF160B.C16 16GB,35,9.8,7.2,NA
874,Crucial Technology CT204864BF160B.M16 16GB,32,8.7,3.5,NA
875,Crucial Technology CT25664BA1067.M16F 2GB,27,12.5,7.2,$12.19
876,Crucial Technology CT25664BA1067.M8FM 2GB,79,5.2,3.7,$32.22*
877,Crucial Technology CT25664BA1339.C8F1 2GB,27,12.7,7.5,$26.68*
878,Crucial Technology CT25664BA1339.C8FE 2GB,31,11.3,6.0,NA
879,Crucial Technology CT25664BA1339.D8F1 2GB,27,13.5,7.4,NA
880,Crucial Technology CT25664BA1339.D8FE 2GB,72,6.6,3.4,NA
881,Crucial Technology CT25664BA1339.M16F 2GB,69,7.1,5.8,NA
882,Crucial Technology CT25664BA1339.M16S 2GB,31,9.6,9.1,NA
883,Crucial Technology CT25664BA1339.M8FK 2GB,26,13.6,7.6,NA
884,Crucial Technology CT25664BA1339.M8FM 2GB,25,14.8,7.9,NA
885,Crucial Technology CT25664BA1339.M8FR 2GB,26,13.4,7.8,NA
886,Crucial Technology CT25664BA160B.C16F 2GB,29,14.3,10.1,$19.99
887,Crucial Technology CT25664BA160B.C8F 2GB,66,6.6,4.6,$30.99*
888,Crucial Technology CT25664BA160B.C8FE 2GB,25,15.8,8.8,$30.99*
889,Crucial Technology CT25664BA160B.C8FK 2GB,89,6.1,4.5,NA
890,Crucial Technology CT25664BA160BJ.C4F 2GB,25,15.0,8.7,NA
891,Crucial Technology CT25664BA160BJ.M4F 2GB,26,10.9,5.0,NA
892,Crucial Technology CT25664BA186D-8FAE 2GB,104,5.6,4.0,NA
893,Crucial Technology CT25664BC1339.M8FM 2GB,27,13.4,7.1,$19.99*
894,Crucial Technology CT25664BD160B.M8FM 2GB,24,12.8,9.2,NA
895,Crucial Technology CT25664BD160BJ.C4F 2GB,22,16.6,8.9,NA
896,Crucial Technology CT25664BF160BJ.M4F 2GB,80,6.0,4.3,NA
897,Crucial Technology CT2K102464BD160B 8GB,38,15.6,9.8,NA
898,Crucial Technology CT4G3S1067M.C16FKR 4GB,30,10.1,6.6,$24.99*
899,Crucial Technology CT4G3S1067M.M16FMD 4GB,31,10.5,6.7,NA
900,Crucial Technology CT4G3S1339M.M16FKD 4GB,28,11.1,8.0,$22.99*
901,Crucial Technology CT4G3S160BM.C16FKR 4GB,28,11.5,8.3,NA
902,Crucial Technology CT51264BA1339.C16F 4GB,27,13.9,8.4,$13.00
903,Crucial Technology CT51264BA1339.D16F 4GB,39,13.2,8.2,NA
904,Crucial Technology CT51264BA1339.M16F 4GB,35,13.3,7.5,NA
905,Crucial Technology CT51264BA1339J.C8F 4GB,68,5.8,3.7,NA
906,Crucial Technology CT51264BA1339J.D8F 4GB,27,14.1,7.3,NA
907,Crucial Technology CT51264BA1339J.M8F 4GB,27,11.4,6.1,NA
908,Crucial Technology CT51264BA160B.C16F 4GB,41,14.1,9.3,$12.00
909,Crucial Technology CT51264BA160B.M16F 4GB,26,12.7,8.9,NA
910,Crucial Technology CT51264BA160BJ.8F1 4GB,27,13.4,8.1,NA
911,Crucial Technology CT51264BA160BJ.C8 4GB,40,13.9,8.1,NA
912,Crucial Technology CT51264BA160BJ.C8F 4GB,41,14.3,8.2,NA
913,Crucial Technology CT51264BA160BJ.M8F 4GB,40,14.1,8.6,NA
914,Crucial Technology CT51264BA160BJ.T8F 4GB,27,12.5,8.3,NA
915,Crucial Technology CT51264BA186DJ-8FA 4GB,91,5.9,4.0,NA
916,Crucial Technology CT51264BC1067.M16F 4GB,31,8.8,5.1,$24.99*
917,Crucial Technology CT51264BC1339.D16F 4GB,31,10.5,7.7,$38.18*
918,Crucial Technology CT51264BC1339.M16F 4GB,28,11.8,8.5,$23.99*
919,Crucial Technology CT51264BC160B.M16F 4GB,28,11.1,9.2,$47.84*
920,Crucial Technology CT51264BD1339.M16F 4GB,25,12.1,8.6,$18.00*
921,Crucial Technology CT51264BD160B.C16F 4GB,41,13.9,9.6,$12.15
922,Crucial Technology CT51264BD160B.M16F 4GB,36,13.8,9.9,$23.99*
923,Crucial Technology CT51264BD160BJ.C8F 4GB,33,14.3,8.5,NA
924,Crucial Technology CT51264BD160BJ.M8F 4GB,39,14.5,8.4,NA
925,Crucial Technology CT51264BD186DJ.M8F 4GB,25,15.1,9.3,NA
926,Crucial Technology CT51264BF1339.C16F 4GB,27,10.5,6.9,$52.24*
927,Crucial Technology CT51264BF1339.M16F 4GB,28,11.5,8.2,$21.99*
928,Crucial Technology CT51264BF1339J.C8F 4GB,29,10.3,6.3,NA
929,Crucial Technology CT51264BF1339J.D8F 4GB,35,7.5,6.3,NA
930,Crucial Technology CT51264BF1339J.M8F 4GB,29,10.4,6.9,NA
931,Crucial Technology CT51264BF160B.C16F 4GB,43,13.1,9.1,$15.47*
932,Crucial Technology CT51264BF160B.D16F 4GB,27,13.3,9.9,NA
933,Crucial Technology CT51264BF160B.M16F 4GB,28,11.8,8.2,NA
934,Crucial Technology CT51264BF160BJ.C8F 4GB,28,12.2,7.8,NA
935,Crucial Technology CT51264BF160BJ.M8F 4GB,38,12.7,7.6,NA
936,Crucial Technology CT51264BF160BJ.T8 4GB,38,12.3,7.8,NA
937,Crucial Technology CT51264BF186DJ.C8F 4GB,27,11.8,7.6,$27.29*
938,Crucial Technology CT51264BF186DJ.M8F 4GB,26,13.4,9.2,$17.99*
939,Crucial Technology CT51272BA1067.M18F 4GB,71,6.2,3.7,$12.00*
940,Crucial Technology CT51272BA1339.M18F 4GB,27,14.0,8.6,$16.71
941,Crucial Technology CT8G3S1339M.M16FDD 8GB,37,9.7,7.7,$57.94*
942,Crucial Technology CT8G3S1339M.M16FED 8GB,32,10.4,7.3,NA
943,Crucial Technology CT8G3S1339M.M16FN 8GB,30,11.6,8.2,NA
944,Crucial Technology CT8G3S1339M.M16FP 8GB,41,11.5,8.0,NA
945,Crucial Technology CT8G3S160BM.C16FED 8GB,27,15.0,9.3,$37.49
946,Crucial Technology CT8G3S160BM.C16FPD 8GB,29,12.6,8.3,$53.95*
947,Crucial Technology CT8G3S160BM.M16FED 8GB,30,11.8,8.3,$76.99*
948,Crucial Technology CT8G3S160BM.M16FJD 8GB,38,13.5,9.5,NA
949,Crucial Technology CT8G3S160BM.M16FN 8GB,29,11.0,7.9,NA
950,Crucial Technology CT8G3S160BM.M16FP 8GB,42,13.2,9.3,NA
951,Crucial Technology CT8G3S186DM.C16FN 8GB,27,13.5,9.9,$54.00
952,Crucial Technology CT8G3S186DM.M16FP 8GB,27,14.2,9.3,NA
953,Crucial Technology lxx 4GB,53,7.8,6.0,NA
954,Crucial Technology M471B1G73DB0-YK0 8GB,38,13.1,9.1,$31.27*
955,Crucial Technology RM102464BA1339.16F 8GB,25,9.2,4.3,NA
956,Crucial Technology RM25664BA1339.8FD 2GB,22,15.9,8.6,NA
957,Crucial Technology RM25664BA1339.8FR 2GB,25,12.8,7.8,NA
958,Crucial Technology RM25664BA1339.M8FR 2GB,26,7.5,3.9,NA
959,Crucial Technology RM51264BA1339.16FD 4GB,37,12.5,7.8,NA
960,Crucial Technology RM51264BA1339.16FM 4GB,25,13.1,8.6,NA
961,Crucial Technology RM51264BA1339.16FR 4GB,26,12.3,7.4,NA
962,Crucial Technology RM51264BA1339.M16F 4GB,29,8.5,5.0,NA
963,Crucial Technology ST102464BA1339.16F 8GB,39,14.9,8.2,NA
964,Crucial Technology ST102464BA1339.M16 8GB,27,10.0,5.5,NA
965,Crucial Technology ST102464BA160B.16F 8GB,38,13.8,8.4,NA
966,Crucial Technology ST102464BF160B.16F 8GB,28,13.0,9.3,NA
967,Crucial Technology ST25664BA1339.8FMD 2GB,25,13.4,7.4,NA
968,Crucial Technology ST25664BA1339.8FMR 2GB,27,12.6,8.7,NA
969,Crucial Technology ST51264BA1339.16FK 4GB,27,13.6,8.3,NA
970,Crucial Technology ST51264BA1339.16FM 4GB,36,13.9,8.1,NA
971,Crucial Technology ST51264BA1339.M16F 4GB,69,7.0,4.8,NA
972,Crucial Technology ST51264BA160B.16F 4GB,25,14.3,9.7,NA
973,Crucial Technology ST51264BA160B.16FK 4GB,64,5.7,3.6,NA
974,Crucial Technology ST51264BA160B.16FM 4GB,22,15.0,8.5,NA
975,Crucial Technology ST51264BC1339.16FM 4GB,27,11.6,8.5,NA
976,DATARAM 2133MHz 11-11-11 8GB,67,6.9,5.4,NA
977,DATARAM DATARAM 64329 4GB,27,13.7,8.3,NA
978,DATARAM DTM64440 8GB,21,16.4,12.3,NA
979,Deciso B.V. YRUIS1866MHZ 4GB,25,12.7,8.1,NA
980,DSL Memory D3SS56162XH12AA 4GB,29,7.9,5.4,NA
981,EKMemory EKM348L56CP8-I13 4GB,43,11.6,7.5,NA
982,Elpida 99U5458-005.A00LF 4GB,26,7.9,4.3,NA
983,Elpida EBJ10UE8BAFA-AE-E 1GB,65,6.1,4.2,NA
984,Elpida EBJ10UE8BDF0-DJ-F 1GB,26,14.4,8.0,NA
985,Elpida EBJ10UE8BDS0-AE-F 1GB,29,11.0,6.4,NA
986,Elpida EBJ17RG4BBWD-GN-F 16GB,59,4.3,2.8,NA
987,Elpida EBJ17RG4BFWA-GN-F 16GB,51,7.0,6.0,NA
988,Elpida EBJ17RG4BFWB-JS-F 16GB,31,11.1,8.7,NA
989,Elpida EBJ17RG4EAFD-DJ-F 16GB,37,9.3,6.0,NA
990,Elpida EBJ17RG4EFWA-DJ-F 16GB,52,10.2,7.7,NA
991,Elpida EBJ20UF8BCF0-DJ-F 2GB,36,10.2,7.3,NA
992,Elpida EBJ20UF8BCS0-DJ-F 2GB,27,10.8,7.4,NA
993,Elpida EBJ20UF8BDU0-GN-F 2GB,26,11.5,7.9,NA
994,Elpida EBJ20UF8BDU5-GN-F 2GB,28,13.2,8.4,NA
995,Elpida EBJ20UF8BDW0-GN-F 2GB,39,12.4,7.1,NA
996,Elpida EBJ21EE8BDFA-DJ-F 2GB,66,6.6,4.1,NA
997,Elpida EBJ21UE8BBS0-AE-F 2GB,28,8.8,7.0,NA
998,Elpida EBJ21UE8BDF0-AE-F 2GB,27,12.4,7.1,NA
999,Elpida EBJ21UE8BDF0-DJ-F 2GB,37,12.7,8.2,NA
1000,Elpida EBJ21UE8BDS0-DJ-F 2GB,30,8.6,6.7,NA
1001,Elpida EBJ21UE8BFU0-DJ-F 2GB,41,9.9,7.1,NA
1002,Elpida EBJ40EG8BFWB-JS-F 4GB,39,12.7,8.8,NA
1003,Elpida EBJ40UG8BBU0-GN-F 4GB,41,12.5,8.2,NA
1004,Elpida EBJ40UG8EFU0-GN-F 4GB,43,12.9,8.2,NA
1005,Elpida EBJ40UG8EFU5-GNL-F 4GB,41,14.4,8.3,NA
1006,Elpida EBJ40UG8EFW0-GN-F 4GB,70,5.2,6.8,NA
1007,Elpida EBJ41EF8BCFA-DJ-F 4GB,35,13.0,8.0,NA
1008,Elpida EBJ41HE4BDFA-DJ-F 4GB,72,7.2,6.3,NA
1009,Elpida EBJ41HE4BDFD-DJ-F 4GB,42,12.4,8.0,NA
1010,Elpida EBJ41UF8BCF0-DJ-F 4GB,29,11.1,6.2,NA
1011,Elpida EBJ41UF8BCS0-DJ-F 4GB,30,9.2,5.7,NA
1012,Elpida EBJ41UF8BDU0-GN-F 4GB,29,12.8,9.0,NA
1013,Elpida EBJ41UF8BDU5-GN-F 4GB,24,14.4,9.4,NA
1014,Elpida EBJ41UF8BDW0-GN-F 4GB,38,14.0,9.1,NA
1015,Elpida EBJ41UF8EDU0-DJ-F 4GB,29,11.0,6.9,NA
1016,Elpida EBJ81UG8BAS0-DJ-F 8GB,42,12.3,7.2,NA
1017,Elpida EBJ81UG8BBU0-GN-F 8GB,45,13.2,9.1,NA
1018,Elpida EBJ81UG8BBU5-GN-F 8GB,25,13.7,8.6,NA
1019,Elpida EBJ81UG8ECU0-GN-F 8GB,29,12.6,9.2,NA
1020,Elpida EBJ81UG8EFU0-GN-F 8GB,45,13.1,8.9,NA
1021,Elpida EBJ81UG8EFU0-GNL-F 8GB,37,11.9,8.1,NA
1022,Elpida EBJ81UG8EFU5-GNL-F 8GB,44,12.8,8.5,NA
1023,Elpida KHX1600C10D3/8GXF 8GB,102,3.4,2.6,NA
1024,Elpida KingTiger 2GB,24,13.0,8.7,NA
1025,Elpida W4GD3H9-WINOVA1600 4GB,26,14.3,9.5,NA
1026,Essencore Limited IM34GU48C16-999HB 4GB,35,15.3,8.9,NA
1027,Essencore Limited IM38GU48C16-999HB 8GB,27,18.7,11.9,NA
1028,Essencore Limited IM38GU48C16-999HM 8GB,25,16.4,10.0,NA
1029,Essencore Limited IM38GU48C18-ABBHB 8GB,68,6.6,4.8,NA
1030,Essencore Limited IMT41GU6MFR8C-P90 8GB,66,6.1,4.4,NA
1031,Essencore Limited IMT41GU6MFR8C-R90 8GB,20,17.2,12.8,NA
1032,Essencore Limited IMT41GU6MFR8C-RA0 8GB,27,14.0,9.8,NA
1033,Essencore Limited IMT41GU6MFR8W-TA2 8GB,23,16.1,10.3,NA
1034,Essencore Limited IMT41GU6MFR8Y-AB1 8GB,27,16.6,11.7,NA
1035,Essencore Limited IMT41GU6MFR8Y-CC0 8GB,21,17.3,12.0,NA
1036,Essencore Limited IMT451U6MFR8C-P90 4GB,23,16.4,9.9,NA
1037,Essencore Limited IMT451U6MFR8C-R90 4GB,23,15.5,9.1,NA
1038,Essencore Limited IMT451U6MFR8C-RA0 4GB,29,12.4,8.0,NA
1039,Essencore Limited IMT451U6MFR8Y-AB1 4GB,31,17.3,10.5,NA
1040,Essencore Limited IMT451U6MFR8Y-CC0 4GB,19,17.7,12.3,NA
1041,Essencore Limited IMT451U6MFR8Y-DC0 4GB,20,16.8,8.9,NA
1042,Essencore Limited IMT451U6MFR8Y-EC1 4GB,26,11.5,10.3,NA
1043,Eudar Technology Inc. MD03EU1323M 4GB,67,6.4,4.6,NA
1044,Eudar Technology Inc. MD03EU1327M 8GB,68,6.4,4.8,NA
1045,Eudar Technology Inc. MD03EU1345M 2GB,25,13.5,8.1,NA
1046,Eudar Technology Inc. MD03MC1030M 4GB,41,8.6,6.0,NA
1047,Eudar Technology Inc. MD03MC1031M 8GB,30,10.2,6.5,NA
1048,EVGA 08G-D3-1600-MR 4GB,32,15.5,8.7,NA
1049,EVGA 08G-D3-1866-MR 4GB,25,15.4,8.5,NA
1050,EVGA 08G-D3-2133-MR 4GB,30,17.1,10.9,NA
1051,EVGA 08G-D3-2400-MR 4GB,23,15.4,9.4,NA
1052,EVGA 16G-D3-1600-MR 8GB,35,15.1,9.5,NA
1053,EVGA 16G-D3-1866-MR 8GB,21,15.6,9.8,NA
1054,EVGA 16G-D3-2133-MR 8GB,25,15.0,11.1,NA
1055,EVGA 16G-D3-2400-MR 8GB,34,16.9,11.1,NA
1056,Exel CMX4GX3M1A1333C9 4GB,27,8.2,4.5,NA
1057,G Skill Intl F3-10600CL9-2GBNT 2GB,26,13.2,8.4,$15.49*
1058,G Skill Intl F3-10600CL9-4GBSQ 4GB,27,11.9,8.6,$25.99
1059,G Skill Intl F3-10666CL7-2GBRH 2GB,25,12.2,7.7,NA
1060,G Skill Intl F3-10666CL7-2GBXH 2GB,27,12.5,8.6,NA
1061,G Skill Intl F3-10666CL7-4GBECO 4GB,25,13.8,8.5,$27.99*
1062,G Skill Intl F3-10666CL7-4GBRH 4GB,36,13.2,8.5,$28.99*
1063,G Skill Intl F3-10666CL7-4GBXH 4GB,36,14.6,8.5,$25.99
1064,G Skill Intl F3-10666CL8-2GBHK 2GB,25,14.5,7.7,NA
1065,G Skill Intl F3-10666CL8-2GBRM 2GB,27,11.4,7.7,NA
1066,G Skill Intl F3-10666CL8-2GBXM 2GB,23,16.5,9.3,NA
1067,G Skill Intl F3-10666CL9-1GBNQ 1GB,27,14.4,7.9,NA
1068,G Skill Intl F3-10666CL9-2GBNQ 2GB,27,10.8,7.0,$26.99*
1069,G Skill Intl F3-10666CL9-2GBNS 2GB,37,11.2,6.6,$14.99
1070,G Skill Intl F3-10666CL9-2GBRL 2GB,25,13.4,8.1,NA
1071,G Skill Intl F3-10666CL9-2GBSQ 2GB,25,12.0,7.8,$13.03
1072,G Skill Intl F3-10666CL9-2GBXL 2GB,26,12.5,7.4,NA
1073,G Skill Intl F3-10666CL9-4GBNT 4GB,41,13.2,8.1,$23.99*
1074,G Skill Intl F3-10666CL9-4GBRL 4GB,37,13.7,8.4,$82.64
1075,G Skill Intl F3-10666CL9-4GBSQ 4GB,28,11.1,7.9,$17.80
1076,G Skill Intl F3-10666CL9-4GBSR 4GB,26,13.1,8.4,NA
1077,G Skill Intl F3-10666CL9-4GBXL 4GB,40,13.1,7.7,$25.99
1078,G Skill Intl F3-10666CL9-8GBNT 8GB,40,13.7,8.8,$27.65*
1079,G Skill Intl F3-10666CL9-8GBSQ 8GB,29,12.0,8.0,NA
1080,G Skill Intl F3-10666CL9-8GBXL 8GB,42,13.3,8.1,$32.24
1081,G Skill Intl F3-10666CL9-8GBZL 8GB,28,12.1,10.4,NA
1082,G Skill Intl F3-12800CL10-8GBNT 8GB,26,14.3,8.4,NA
1083,G Skill Intl F3-12800CL10-8GBXL 8GB,41,14.2,8.7,$33.51*
1084,G Skill Intl F3-12800CL10-8GBZL 8GB,44,12.6,9.5,NA
1085,G Skill Intl F3-12800CL11-4GBSQ 4GB,27,13.9,8.6,$21.99
1086,G Skill Intl F3-12800CL6-2GBPI 2GB,22,14.1,10.3,NA
1087,G Skill Intl F3-12800CL6-2GBPIS 2GB,27,14.3,8.8,NA
1088,G Skill Intl F3-12800CL6-2GBXH 2GB,21,13.3,10.0,NA
1089,G Skill Intl F3-12800CL7-2GBECO 2GB,33,14.7,11.8,NA
1090,G Skill Intl F3-12800CL7-2GBPI 2GB,36,12.1,7.8,NA
1091,G Skill Intl F3-12800CL7-2GBRH 2GB,19,15.7,10.5,NA
1092,G Skill Intl F3-12800CL7-2GBRM 2GB,24,13.9,9.2,NA
1093,G Skill Intl F3-12800CL7-2GBXM 2GB,22,13.9,9.8,NA
1094,G Skill Intl F3-12800CL7-4GBRH 4GB,22,14.4,9.8,NA
1095,G Skill Intl F3-12800CL7-4GBSR 4GB,22,16.9,10.4,NA
1096,G Skill Intl F3-12800CL7-4GBTDD 4GB,70,6.4,5.1,NA
1097,G Skill Intl F3-12800CL7-4GBXH 4GB,22,14.9,9.9,NA
1098,G Skill Intl F3-12800CL7-4GBXM 4GB,37,14.5,8.5,$26.99*
1099,G Skill Intl F3-12800CL7-4GBZM 4GB,32,15.6,10.2,NA
1100,G Skill Intl F3-12800CL8-2GBECO 2GB,24,13.2,10.3,NA
1101,G Skill Intl F3-12800CL8-2GBPI 2GB,68,5.8,4.3,NA
1102,G Skill Intl F3-12800CL8-2GBRM 2GB,25,14.3,8.6,NA
1103,G Skill Intl F3-12800CL8-2GBTD 2GB,23,14.9,9.1,NA
1104,G Skill Intl F3-12800CL8-2GBXM 2GB,22,15.1,10.0,NA
1105,G Skill Intl F3-12800CL8-2GBZH 2GB,61,6.5,5.1,NA
1106,G Skill Intl F3-12800CL8-4GBECO 4GB,22,14.3,9.8,$38.99*
1107,G Skill Intl F3-12800CL8-4GBRM 4GB,23,15.7,10.1,$33.99*
1108,G Skill Intl F3-12800CL8-4GBXM 4GB,36,14.6,9.6,$26.99*
1109,G Skill Intl F3-12800CL8-4GBZH 4GB,25,13.1,10.2,NA
1110,G Skill Intl F3-12800CL9-1GBNQ 1GB,68,6.5,5.1,NA
1111,G Skill Intl F3-12800CL9-2GBECO 2GB,25,11.9,8.2,NA
1112,G Skill Intl F3-12800CL9-2GBNQ 2GB,33,15.7,9.3,$26.99*
1113,G Skill Intl F3-12800CL9-2GBNT 2GB,21,14.4,9.3,NA
1114,G Skill Intl F3-12800CL9-2GBRL 2GB,39,12.0,8.7,$24.99*
1115,G Skill Intl F3-12800CL9-2GBXL 2GB,34,14.6,9.2,NA
1116,G Skill Intl F3-12800CL9-2GBZL 2GB,25,13.6,10.6,NA
1117,G Skill Intl F3-12800CL9-4GBALT 4GB,24,13.4,9.1,NA
1118,G Skill Intl F3-12800CL9-4GBNT 4GB,25,13.1,9.6,NA
1119,G Skill Intl F3-12800CL9-4GBRL 4GB,38,14.5,9.3,$26.57
1120,G Skill Intl F3-12800CL9-4GBSK 4GB,25,13.9,8.1,$26.99*
1121,G Skill Intl F3-12800CL9-4GBSQ 4GB,25,13.1,8.3,$21.59
1122,G Skill Intl F3-12800CL9-4GBSR 4GB,39,14.7,9.2,$25.99*
1123,G Skill Intl F3-12800CL9-4GBSR1 4GB,36,14.8,9.3,NA
1124,G Skill Intl F3-12800CL9-4GBSR2 4GB,37,15.3,9.2,NA
1125,G Skill Intl F3-12800CL9-4GBX 4GB,21,15.3,10.1,$28.73
1126,G Skill Intl F3-12800CL9-4GBXL 4GB,39,14.8,9.3,$99.00
1127,G Skill Intl F3-12800CL9-4GBXM 4GB,39,12.9,8.8,NA
1128,G Skill Intl F3-12800CL9-4GBZL 4GB,38,14.0,10.2,NA
1129,G Skill Intl F3-1280CL 8GB,83,6.2,4.5,NA
1130,G Skill Intl F3-1333C9-4GAO 4GB,39,12.8,9.0,NA
1131,G Skill Intl F3-1333C9-4GIS 4GB,28,12.4,7.5,NA
1132,G Skill Intl F3-1333C9-4GISL 4GB,27,10.9,6.8,NA
1133,G Skill Intl F3-1333C9-4GNS 4GB,28,12.0,7.1,NA
1134,G Skill Intl F3-1333C9-4GSL 4GB,26,8.3,4.1,NA
1135,G Skill Intl F3-1333C9-8GAO 8GB,41,13.7,8.6,NA
1136,G Skill Intl F3-1333C9-8GIS 8GB,38,12.4,7.6,NA
1137,G Skill Intl F3-1333C9-8GISL 8GB,27,14.6,8.7,NA
1138,G Skill Intl F3-1333C9-8GSA 8GB,36,3.9,2.4,NA
1139,G Skill Intl F3-14400CL9-2GBFLS 2GB,51,6.9,5.9,NA
1140,G Skill Intl F3-14900CL10-8GBXL 8GB,39,14.9,9.3,$51.57
1141,G Skill Intl F3-14900CL10-8GBZL 8GB,38,14.6,10.1,NA
1142,G Skill Intl F3-14900CL8-2GBXM 2GB,20,14.6,10.8,NA
1143,G Skill Intl F3-14900CL8-4GBXM 4GB,31,17.4,10.9,NA
1144,G Skill Intl F3-14900CL8-4GBXMD 4GB,56,7.8,5.2,NA
1145,G Skill Intl F3-14900CL8-4GBZM 4GB,34,15.8,10.8,NA
1146,G Skill Intl F3-14900CL9-2GBXM 2GB,21,16.8,9.8,NA
1147,G Skill Intl F3-14900CL9-4GBSR 4GB,36,16.2,10.5,NA
1148,G Skill Intl F3-14900CL9-4GBXL 4GB,36,15.6,10.0,$21.99*
1149,G Skill Intl F3-14900CL9-4GBXLD 4GB,25,14.9,8.6,NA
1150,G Skill Intl F3-14900CL9-4GBZL 4GB,37,14.2,10.4,NA
1151,G Skill Intl F3-14900L 4GB,58,7.3,5.2,NA
1152,G Skill Intl F3-15000CL9-2GBRH 2GB,20,16.5,11.3,NA
1153,G Skill Intl F3-16000CL6-2GBPIS 2GB,20,15.8,11.2,NA
1154,G Skill Intl F3-16000CL7-2GBFLS 2GB,54,7.1,5.7,NA
1155,G Skill Intl F3-16000CL9-2GBFLS 2GB,56,6.1,4.8,NA
1156,G Skill Intl F3-16000CL9-2GBRH 2GB,36,14.8,9.1,NA
1157,G Skill Intl F3-16000CL9-2GBRHD 2GB,64,5.1,4.6,NA
1158,G Skill Intl F3-16000CL9-2GBRM 2GB,26,12.5,8.8,NA
1159,G Skill Intl F3-16000CL9-2GBTD 2GB,22,14.7,9.1,NA
1160,G Skill Intl F3-16000CL9-2GBTDD 2GB,27,12.0,10.0,NA
1161,G Skill Intl F3-16000CL9-4GBFL 4GB,20,18.1,11.8,NA
1162,G Skill Intl F3-16000CL9-4GBRM 4GB,25,13.0,8.0,$44.99*
1163,G Skill Intl F3-1600C10-8GAB 8GB,42,12.1,7.8,NA
1164,G Skill Intl F3-1600C10-8GAO 8GB,41,14.0,8.8,NA
1165,G Skill Intl F3-1600C10-8GSQ 8GB,44,11.2,7.8,NA
1166,G Skill Intl F3-1600C10-8GSR 8GB,68,6.7,4.7,NA
1167,G Skill Intl F3-1600C11-4GIS 4GB,38,14.1,8.6,NA
1168,G Skill Intl F3-1600C11-4GISL 4GB,26,12.7,7.8,NA
1169,G Skill Intl F3-1600C11-4GNS 4GB,39,14.3,8.4,NA
1170,G Skill Intl F3-1600C11-4GNT 4GB,35,14.7,8.7,NA
1171,G Skill Intl F3-1600C11-4GSL 4GB,28,13.5,9.5,NA
1172,G Skill Intl F3-1600C11-8GIS 8GB,40,14.5,9.3,NA
1173,G Skill Intl F3-1600C11-8GISL 8GB,25,14.8,9.8,NA
1174,G Skill Intl F3-1600C11-8GNT 8GB,41,14.6,9.3,NA
1175,G Skill Intl F3-1600C11-8GRSL 8GB,45,12.3,8.9,NA
1176,G Skill Intl F3-1600C11-8GSL 8GB,29,11.7,8.1,NA
