,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien
2192,Intel Core i5-650 @ 3.20GHz,"2,243",2505,29.92,$74.98,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-650+%40+3.20GHz&id=767
2193,Intel Core i5-6500 @ 3.20GHz,"5,635",1468,66.99,$84.11,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-6500+%40+3.20GHz&id=2599
2194,Intel Core i5-6500T @ 2.50GHz,"4,771",1630,21.54,$221.52*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-6500T+%40+2.50GHz&id=2627
2195,Intel Core i5-6500TE @ 2.30GHz,"4,804",1627,9.80,$489.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-6500TE+%40+2.30GHz&id=2680
2196,Intel Core i5-655K @ 3.20GHz,"2,017",2626,26.24,$76.87*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-655K+%40+3.20GHz&id=774
2197,Intel Core i5-660 @ 3.33GHz,"2,398",2407,104.29,$22.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-660+%40+3.33GHz&id=768
2198,Intel Core i5-6600 @ 3.30GHz,"6,040",1407,191.80,$31.49,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-6600+%40+3.30GHz&id=2594
2199,Intel Core i5-6600K @ 3.50GHz,"6,329",1344,95.91,$65.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-6600K+%40+3.50GHz&id=2570
2200,Intel Core i5-6600T @ 2.70GHz,"5,662",1462,50.03,$113.18*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-6600T+%40+2.70GHz&id=2613
2201,Intel Core i5-661 @ 3.33GHz,"2,459",2372,59.99,$41.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-661+%40+3.33GHz&id=769
2202,Intel Core i5-670 @ 3.47GHz,"2,533",2341,9.31,$271.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-670+%40+3.47GHz&id=770
2203,Intel Core i5-680 @ 3.60GHz,"2,606",2304,68.57,$38.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-680+%40+3.60GHz&id=771
2204,Intel Core i5-7200U @ 2.50GHz,"3,394",1977,6.80,$499.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7200U+%40+2.50GHz&id=2865
2205,Intel Core i5-7260U @ 2.20GHz,"3,966",1811,8.44,$469.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7260U+%40+2.20GHz&id=2993
2209,Intel Core i5-7300U @ 2.60GHz,"3,677",1895,5.86,$627.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7300U+%40+2.60GHz&id=2955
2211,Intel Core i5-7400 @ 3.00GHz,"5,497",1498,64.68,$84.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7400+%40+3.00GHz&id=2929
2212,Intel Core i5-7400T @ 2.40GHz,"4,729",1637,25.55,$185.05*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7400T+%40+2.40GHz&id=2889
2213,Intel Core i5-7440EQ @ 2.90GHz,"5,711",1453,22.84,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7440EQ+%40+2.90GHz&id=4013
2215,Intel Core i5-7442EQ @ 2.10GHz,"4,834",1623,19.34,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7442EQ+%40+2.10GHz&id=3392
2216,Intel Core i5-750 @ 2.67GHz,"2,524",2345,22.95,$110.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-750+%40+2.67GHz&id=772
2217,Intel Core i5-7500 @ 3.40GHz,"6,029",1408,73.36,$82.18,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7500+%40+3.40GHz&id=2910
2218,Intel Core i5-7500T @ 2.70GHz,"5,263",1550,33.03,$159.33,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7500T+%40+2.70GHz&id=2917
2219,Intel Core i5-760 @ 2.80GHz,"2,607",2303,26.07,$100.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-760+%40+2.80GHz&id=773
2220,Intel Core i5-7600 @ 3.50GHz,"6,564",1295,66.30,$99.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7600+%40+3.50GHz&id=2920
2221,Intel Core i5-7600K @ 3.80GHz,"6,816",1259,69.55,$98.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7600K+%40+3.80GHz&id=2919
2222,Intel Core i5-7600T @ 2.80GHz,"5,844",1431,39.51,$147.91*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7600T+%40+2.80GHz&id=2928
2224,Intel Core i5-7640X @ 4.00GHz,"6,791",1263,71.55,$94.92,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-7640X+%40+4.00GHz&id=3045
2227,Intel Core i5-8200Y @ 1.30GHz,"2,291",2479,7.87,$291.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8200Y+%40+1.30GHz&id=3372
2230,Intel Core i5-8257U @ 1.40GHz,"7,616",1140,23.80,$320.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8257U+%40+1.40GHz&id=3605
2231,Intel Core i5-8259U @ 2.30GHz,"7,979",1106,15.34,$519.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8259U+%40+2.30GHz&id=3299
2232,Intel Core i5-8260U @ 1.60GHz,"7,649",1136,17.38,$439.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8260U+%40+1.60GHz&id=3724
2233,Intel Core i5-8265U @ 1.60GHz,"6,017",1410,12.04,$499.88*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8265U+%40+1.60GHz&id=3323
2235,Intel Core i5-8269U @ 2.60GHz,"8,055",1097,25.17,$320.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8269U+%40+2.60GHz&id=4262
2236,Intel Core i5-8279U @ 2.40GHz,"7,694",1129,24.05,$320.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8279U+%40+2.40GHz&id=3552
2237,Intel Core i5-8300H @ 2.30GHz,"7,473",1158,29.89,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8300H+%40+2.30GHz&id=3254
2239,Intel Core i5-8350U @ 1.70GHz,"6,213",1366,20.92,$297.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8350U+%40+1.70GHz&id=3150
2240,Intel Core i5-8365U @ 1.60GHz,"6,248",1361,11.59,$539.07*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8365U+%40+1.60GHz&id=3447
2241,Intel Core i5-8365UE @ 1.60GHz,"5,711",1452,19.23,$297.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8365UE+%40+1.60GHz&id=3594
2242,Intel Core i5-8400 @ 2.80GHz,"9,254",989,65.04,$142.29,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8400+%40+2.80GHz&id=3097
2243,Intel Core i5-8400H @ 2.50GHz,"7,751",1124,31.00,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8400H+%40+2.50GHz&id=3286
2244,Intel Core i5-8400T @ 1.70GHz,"7,452",1161,31.07,$239.84*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8400T+%40+1.70GHz&id=3260
2245,Intel Core i5-8500 @ 3.00GHz,"9,598",963,72.43,$132.51,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8500+%40+3.00GHz&id=3223
2246,Intel Core i5-8500B @ 3.00GHz,"8,994",1015,46.84,$192.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8500B+%40+3.00GHz&id=3382
2247,Intel Core i5-8500T @ 2.10GHz,"7,736",1125,29.08,$265.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8500T+%40+2.10GHz&id=3231
2248,Intel Core i5-8600 @ 3.10GHz,"9,968",933,86.26,$115.56,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600+%40+3.10GHz&id=3251
2249,Intel Core i5-8600K @ 3.60GHz,"10,220",920,86.17,$118.60,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600K+%40+3.60GHz&id=3100
2250,Intel Core i5-8600T @ 2.30GHz,"9,304",984,46.52,$199.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600T+%40+2.30GHz&id=3241
2251,Intel Core i5-9300H @ 2.40GHz,"7,650",1135,30.60,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9300H+%40+2.40GHz&id=3448
2252,Intel Core i5-9300HF @ 2.40GHz,"7,503",1152,30.01,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9300HF+%40+2.40GHz&id=3706
2253,Intel Core i5-9400 @ 2.90GHz,"9,389",975,68.44,$137.19,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400+%40+2.90GHz&id=3414
2254,Intel Core i5-9400F @ 2.90GHz,"9,499",969,63.33,$149.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400F+%40+2.90GHz&id=3397
2255,Intel Core i5-9400H @ 2.50GHz,"8,031",1102,32.13,$250.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400H+%40+2.50GHz&id=3508
2256,Intel Core i5-9400T @ 1.80GHz,"8,426",1054,46.29,$182.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400T+%40+1.80GHz&id=3513
2257,Intel Core i5-9500 @ 3.00GHz,"9,783",946,61.49,$159.09,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9500+%40+3.00GHz&id=3444
2258,Intel Core i5-9500F @ 3.00GHz,"10,212",921,76.06,$134.26,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9500F+%40+3.00GHz&id=3511
2259,Intel Core i5-9500T @ 2.20GHz,"8,141",1084,42.40,$192.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9500T+%40+2.20GHz&id=3454
2260,Intel Core i5-9500TE @ 2.20GHz,"9,846",944,51.28,$192.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9500TE+%40+2.20GHz&id=3736
2261,Intel Core i5-9600 @ 3.10GHz,"10,306",915,59.82,$172.29,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600+%40+3.10GHz&id=3554
2262,Intel Core i5-9600K @ 3.70GHz,"10,738",889,53.25,$201.65,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600K+%40+3.70GHz&id=3337
2263,Intel Core i5-9600KF @ 3.70GHz,"10,772",887,67.33,$159.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600KF+%40+3.70GHz&id=3443
2264,Intel Core i5-9600T @ 2.30GHz,"9,580",965,44.97,$213.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9600T+%40+2.30GHz&id=3602
2265,Intel Core i5-L16G7 @ 1.40GHz,"3,449",1957,12.28,$281.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-L16G7+%40+1.40GHz&id=3809
2266,Intel Core i7-10510U @ 1.80GHz,"6,667",1282,16.30,$409.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10510U+%40+1.80GHz&id=3549
2267,Intel Core i7-10510Y @ 1.20GHz,"5,100",1584,12.65,$403.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10510Y+%40+1.20GHz&id=3819
2269,Intel Core i7-10610U @ 1.80GHz,"6,828",1257,16.69,$409.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10610U+%40+1.80GHz&id=3738
2270,Intel Core i7-1065G7 @ 1.30GHz,"8,418",1055,19.76,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1065G7+%40+1.30GHz&id=3466
2271,Intel Core i7-1068NG7 @ 2.30GHz,"9,626",961,22.60,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1068NG7+%40+2.30GHz&id=3729
2272,Intel Core i7-10700 @ 2.90GHz,"16,573",607,72.74,$227.82,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700+%40+2.90GHz&id=3747
2273,Intel Core i7-10700E @ 2.90GHz,"16,418",612,49.75,$330.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700E+%40+2.90GHz&id=4652
2274,Intel Core i7-10700F @ 2.90GHz,"16,651",602,87.64,$189.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700F+%40+2.90GHz&id=3806
2275,Intel Core i7-10700K @ 3.80GHz,"18,951",511,72.56,$261.19,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700K+%40+3.80GHz&id=3733
2276,Intel Core i7-10700KF @ 3.80GHz,"18,781",518,68.30,$274.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700KF+%40+3.80GHz&id=3757
2277,Intel Core i7-10700T @ 2.00GHz,"12,865",787,31.08,$413.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700T+%40+2.00GHz&id=3792
2278,Intel Core i7-10700TE @ 2.00GHz,"16,332",619,49.49,$330.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700TE+%40+2.00GHz&id=4081
2279,Intel Core i7-10710U @ 1.10GHz,"9,737",950,15.10,$644.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10710U+%40+1.10GHz&id=3567
2281,Intel Core i7-10810U @ 1.10GHz,"8,190",1082,18.49,$443.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10810U+%40+1.10GHz&id=3741
2282,Intel Core i7-10850H @ 2.70GHz,"11,883",827,30.08,$395.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10850H+%40+2.70GHz&id=3734
2283,Intel Core i7-10870H @ 2.20GHz,"14,641",692,35.11,$417.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10870H+%40+2.20GHz&id=3856
2284,Intel Core i7-10875H @ 2.30GHz,"15,099",670,33.55,$450.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10875H+%40+2.30GHz&id=3726
2285,Intel Core i7-11370H @ 3.30GHz,"11,777",831,27.65,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11370H+%40+3.30GHz&id=4048
2286,Intel Core i7-11375H @ 3.30GHz,"11,963",825,24.82,$482.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11375H+%40+3.30GHz&id=4157
2287,Intel Core i7-11390H @ 3.40GHz,"10,392",906,24.39,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11390H+%40+3.40GHz&id=4619
2288,Intel Core i7-11600H @ 2.90GHz,"15,992",632,40.49,$395.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11600H+%40+2.90GHz&id=4629
2289,Intel Core i7-1160G7 @ 1.20GHz,"9,173",996,21.53,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1160G7+%40+1.20GHz&id=3911
2290,Intel Core i7-1165G7 @ 2.80GHz,"10,366",909,24.33,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1165G7+%40+2.80GHz&id=3814
2291,Intel Core i7-11700 @ 2.50GHz,"20,020",471,102.67,$194.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700+%40+2.50GHz&id=3947
2293,Intel Core i7-11700F @ 2.50GHz,"21,139",434,93.54,$225.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700F+%40+2.50GHz&id=4264
2294,Intel Core i7-11700K @ 3.60GHz,"24,668",327,89.34,$276.10,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700K+%40+3.60GHz&id=3896
2295,Intel Core i7-11700KF @ 3.60GHz,"24,033",339,91.38,$262.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700KF+%40+3.60GHz&id=4234
2296,Intel Core i7-11700T @ 1.40GHz,"16,243",622,50.29,$323.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700T+%40+1.40GHz&id=4558
2297,Intel Core i7-11800H @ 2.30GHz,"20,796",446,52.65,$395.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11800H+%40+2.30GHz&id=4358
2298,Intel Core i7-1180G7 @ 1.30GHz,"8,387",1061,19.69,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1180G7+%40+1.30GHz&id=4123
2299,Intel Core i7-11850H @ 2.50GHz,"20,764",448,52.57,$395.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11850H+%40+2.50GHz&id=4342
2300,Intel Core i7-11850HE @ 2.60GHz,"16,409",614,37.29,$440.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11850HE+%40+2.60GHz&id=5056
2301,Intel Core i7-1185G7 @ 3.00GHz,"10,565",896,24.80,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1185G7+%40+3.00GHz&id=3793
2302,Intel Core i7-1185G7E @ 2.80GHz,"10,444",903,24.23,$431.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1185G7E+%40+2.80GHz&id=4298
2304,Intel Core i7-1195G7 @ 2.90GHz,"11,081",864,26.01,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1195G7+%40+2.90GHz&id=4514
2305,Intel Core i7-1250U,"12,328",808,28.94,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1250U&id=4977
2306,Intel Core i7-1255U,"13,808",737,32.41,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1255U&id=4794
2309,Intel Core i7-12650H,"23,584",352,51.61,$457.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12650H&id=4771
2310,Intel Core i7-1265U,"14,031",723,32.94,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1265U&id=4766
2311,Intel Core i7-1265UE,"9,195",991,19.48,$472.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1265UE&id=5093
2312,Intel Core i7-12700,"30,949",204,95.08,$325.49,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700&id=4669
2313,Intel Core i7-12700E,"29,289",231,85.14,$344.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700E&id=5018
2314,Intel Core i7-12700F,"30,944",205,108.58,$284.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700F&id=4692
2315,Intel Core i7-12700H,"26,465",284,57.91,$457.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700H&id=4721
2316,Intel Core i7-12700K,"34,741",163,84.94,$409.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700K&id=4609
2317,Intel Core i7-12700KF,"34,492",167,124.97,$276.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700KF&id=4608
2318,Intel Core i7-12700T,"21,713",415,64.05,$339.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700T&id=4830
2319,Intel Core i7-12700TE,"15,616",648,45.40,$344.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12700TE&id=4958
2321,Intel Core i7-1270PE,"17,960",551,40.73,$441.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1270PE&id=5580
2322,Intel Core i7-12800H,"24,909",319,54.50,$457.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12800H&id=4778
2323,Intel Core i7-12800HE,"29,805",224,58.90,$506.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12800HE&id=5184
2324,Intel Core i7-12800HX,"32,668",189,71.48,$457.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12800HX&id=4904
2325,Intel Core i7-1280P,"20,433",462,42.39,$482.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1280P&id=4783
2326,Intel Core i7-12850HX,"30,449",213,71.14,$428.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-12850HX&id=4913
2327,Intel Core i7-1355U,"15,343",660,32.71,$469.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1355U&id=5317
2328,Intel Core i7-1360P,"19,410",497,40.44,$480.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1360P&id=5198
2329,Intel Core i7-13620H,"26,604",282,53.00,$502.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13620H&id=5283
2330,Intel Core i7-13650HX,"32,118",195,66.22,$485.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13650HX&id=5253
2331,Intel Core i7-1365U,"15,583",650,36.58,$426.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-1365U&id=5266
2332,Intel Core i7-13700,"38,407",142,109.74,$349.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700&id=4992
2333,Intel Core i7-13700F,"39,793",134,110.23,$360.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700F&id=5163
2334,Intel Core i7-13700H,"28,530",243,56.83,$502.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700H&id=5226
2335,Intel Core i7-13700HX,"34,288",170,70.70,$485.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700HX&id=5238
2336,Intel Core i7-13700K,"46,765",97,114.62,$407.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700K&id=5060
2337,Intel Core i7-13700KF,"46,540",100,119.03,$390.98,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700KF&id=5061
2338,Intel Core i7-13700T,"29,820",223,77.66,$384.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700T&id=5223
2339,Intel Core i7-13700TE,"26,616",281,68.25,$390.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700TE&id=5640
2340,Intel Core i7-13705H,"23,753",345,47.32,$502.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13705H&id=5538
2343,Intel Core i7-13800H,"27,398",268,59.95,$457.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13800H&id=5246
2344,Intel Core i7-13850HX,"39,067",138,91.28,$428.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13850HX&id=5288
2345,Intel Core i7-2600 @ 3.40GHz,"5,330",1535,66.63,$79.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2600+%40+3.40GHz&id=1
2346,Intel Core i7-2600K @ 3.40GHz,"5,479",1503,92.91,$58.97,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2600K+%40+3.40GHz&id=868
2347,Intel Core i7-2600S @ 2.80GHz,"4,597",1662,18.46,$249.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2600S+%40+2.80GHz&id=869
2350,Intel Core i7-2620M @ 2.70GHz,"2,440",2383,20.98,$116.27,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2620M+%40+2.70GHz&id=872
2351,Intel Core i7-2630QM @ 2.00GHz,"3,546",1929,18.67,$189.95*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2630QM+%40+2.00GHz&id=873
2355,Intel Core i7-2640M @ 2.80GHz,"2,501",2354,25.26,$99.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2640M+%40+2.80GHz&id=876
2357,Intel Core i7-2670QM @ 2.20GHz,"3,752",1870,29.09,$129.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2670QM+%40+2.20GHz&id=878
2360,Intel Core i7-2700K @ 3.50GHz,"5,737",1447,57.95,$99.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2700K+%40+3.50GHz&id=881
2363,Intel Core i7-2720QM @ 2.20GHz,"4,030",1799,22.39,$179.95*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2720QM+%40+2.20GHz&id=883
2364,Intel Core i7-2760QM @ 2.40GHz,"4,404",1704,36.09,$122.02,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2760QM+%40+2.40GHz&id=884
2365,Intel Core i7-2820QM @ 2.30GHz,"4,401",1705,11.90,$369.95*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2820QM+%40+2.30GHz&id=885
2367,Intel Core i7-2860QM @ 2.50GHz,"4,570",1665,45.70,$100.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2860QM+%40+2.50GHz&id=886
2368,Intel Core i7-2920XM @ 2.50GHz,"4,384",1711,36.53,$120.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2920XM+%40+2.50GHz&id=887
2369,Intel Core i7-2960XM @ 2.70GHz,"4,760",1631,17.09,$278.52*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-2960XM+%40+2.70GHz&id=888
2372,Intel Core i7-3520M @ 2.90GHz,"2,863",2203,23.47,$122.02*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3520M+%40+2.90GHz&id=890
2374,Intel Core i7-3540M @ 3.00GHz,"2,946",2168,23.01,$128.02*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3540M+%40+3.00GHz&id=1857
2377,Intel Core i7-3610QM @ 2.30GHz,"5,117",1578,17.06,$299.95*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3610QM+%40+2.30GHz&id=891
2382,Intel Core i7-3630QM @ 2.40GHz,"5,123",1577,22.37,$229.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3630QM+%40+2.40GHz&id=1444
2383,Intel Core i7-3632QM @ 2.20GHz,"4,672",1645,66.84,$69.90,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3632QM+%40+2.20GHz&id=1480
2388,Intel Core i7-3720QM @ 2.60GHz,"5,653",1463,56.56,$99.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3720QM+%40+2.60GHz&id=895
2389,Intel Core i7-3740QM @ 2.70GHz,"5,714",1451,26.21,$218.02,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3740QM+%40+2.70GHz&id=1481
2390,Intel Core i7-3770 @ 3.40GHz,"6,398",1330,127.99,$49.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-3770+%40+3.40GHz&id=896
