Amenity,Frequency
Bluetooth sound system,1187
Coffee maker: pour-over coffee,1109
Central air conditioning,1099
Baby bath,1045
EV charger,1024
and dresser,1019
Changing table,1000
Clothing storage: closet and wardrobe,973
Clothing storage: closet and dresser,973
Window guards,965
standard cable,919
Nespresso,916
Clothing storage: walk-in closet and closet,907
closet,905
Clothing storage: dresser,871
Single oven,854
Keypad,820
wardrobe,800
Outlet covers,791
Washer – In unit,788
Record player,774
Exercise equipment,726
pour-over coffee,705
Private living room,699
HDTV,687
Crib - available upon request,678
HDTV with Netflix,654
premium cable,646
Disney+,617
Game console,616
Fireplace guards,589
BBQ grill,587
Indoor fireplace: wood-burning,586
Crib - always at the listing,580
Bidet,563
Private backyard – Fully fenced,560
Sun loungers,553
Amazon Prime Video,545
Shared backyard – Fully fenced,542
HDTV with standard cable,514
Gas stove,506
Gym,484
Sound system with Bluetooth and aux,484
Shared patio or balcony,481
Pack ’n play/Travel crib - always at the listing,474
Ceiling fan,463
Bikes,459
Children’s books and toys for ages 0-2 years old,448
Apple TV,429
Chromecast,427
Barbecue utensils,422
Exercise equipment: free weights,422
Stainless steel single oven,405
Outdoor shower,399
Park view,395
Free dryer,392
french press,367
Dryer – In unit,347
and wardrobe,343
Baby safety gates,339
yoga mat,338
Shared backyard,337
Paid parking garage on premises,336
HDTV with Amazon Prime Video,332
Hot tub,327
Sound system with aux,320
Game console: PS4,318
Children’s books and toys for ages 0-2 years old and 2-5 years old,314
espresso machine,314
Paid pack ’n play/travel crib - available upon request,311
Paid parking lot on premises,305
Free washer,298
Free parking garage on premises – 1 space,294
Table corner guards,290
Clothing storage: wardrobe and dresser,281
Paid parking garage on premises – 1 space,277
Clothing storage: walk-in closet and dresser,277
Changing table - always at the listing,276
Lake access,274
Trash compactor,271
TV with Netflix,260
DVD player,249
Mosquito net,249
Private hot tub,237
Canal view,232
Waterfront,228
Paid parking lot off premises,222
Standalone high chair - always at the listing,220
Free washer – In building,219
2-5 years old,215
Window AC unit,214
Clothing storage: walk-in closet and wardrobe,210
Shared gym nearby,203
Baby bath - available upon request,198
Bose Bluetooth sound system,196
Samsung refrigerator,191
Children’s books and toys for ages 2-5 years old,189
Baby monitor,187
Free dryer – In building,184
and 10+ years old,180
Hammock,179
5-10 years old,178
Exercise equipment: yoga mat,177
Baby bath - always at the listing,173
Private backyard,167
HDTV with premium cable,163
HDTV with Chromecast,159
River view,158
,157
AC - split type ductless system,153
Kitchenette,146
55 HDTV with Amazon Prime Video,145
Shared backyard – Not fully fenced,144
Children’s books and toys for ages 2-5 years old and 5-10 years old,142
Paid washer – In unit,142
Children’s books and toys for ages 5-10 years old and 10+ years old,137
Paid crib - available upon request,136
Double oven,132
Pool,127
Children’s books and toys for ages 5-10 years old,123
Dove body soap,123
Resort access,121
Bosch refrigerator,119
Marshall Bluetooth sound system,117
Stainless steel induction stove,116
and 5-10 years old,116
Sonos sound system,114
Stainless steel double oven,112
Clamp on table seat high chair - always at the listing,104
Changing table - available upon request,102
Sonos Bluetooth sound system,101
Bio body soap,100
Game console: Nintendo Switch,99
Folding or convertible high chair - available upon request,99
Standalone high chair - available upon request,97
Private backyard – Not fully fenced,96
55 HDTV with Netflix,92
TV with Amazon Prime Video,91
Exercise equipment: stationary bike,90
Sanex body soap,89
Coffee maker: Keurig coffee machine,87
43 HDTV with Amazon Prime Video,86
Ping pong table,85
Stainless steel gas stove,84
Electrolux induction stove,82
Fire TV,82
HDTV with Apple TV,80
Marshall sound system with Bluetooth and aux,80
Other electric stove,79
High chair - available upon request,78
Bose sound system with Bluetooth and aux,78
Stainless steel electric stove,78
Smeg refrigerator,78
Exercise equipment: elliptical,77
JBL Bluetooth sound system,77
32 HDTV,76
Autre induction stove,74
Paid dryer – In unit,73
TV with Chromecast,73
Paid dryer – In building,73
50 HDTV with Amazon Prime Video,73
32 HDTV with Amazon Prime Video,72
HDTV with Disney+,72
Siemens refrigerator,72
Nuxe body soap,72
55 HDTV,72
Liebherr refrigerator,71
Heating - split type ductless system,71
Electrolux refrigerator,70
Whirlpool refrigerator,70
43 HDTV with Netflix,70
Folding or convertible high chair - always at the listing,65
Standalone high chair,64
Free parking garage on premises,64
65 HDTV with Amazon Prime Video,63
HBO Max,62
32 HDTV with Netflix,62
Private gym nearby,62
Bosch induction stove,61
Fire pit,61
Baby monitor - available upon request,61
Bio shampoo,61
32 HDTV with standard cable,60
Game console: PS5,60
Indoor fireplace: ethanol,59
Bosch stainless steel oven,59
Indoor fireplace: electric,59
Game console: Xbox One,58
Stainless steel stove,57
Pool table,57
Ikea refrigerator,56
Private gym in building,56
Paid washer – In building,55
55 HDTV with standard cable,53
Children’s books and toys for ages 10+ years old,53
Savon de Marseille body soap,53
LG refrigerator,53
43 HDTV,53
stationary bike,52
open specific hours,52
Nuxe shampoo,52
50 HDTV with Netflix,52
Aesop body soap,51
Siemens induction stove,50
Beko refrigerator,50
Private sauna,50
Shared sauna,49
Autre electric stove,49
40 HDTV with standard cable,49
Siemens oven,49
Clamp on table seat high chair - available upon request,48
Petit Marseillais body soap,47
Free residential garage on premises – 1 space,47
Nuxe conditioner,46
HDTV with DVD player,45
Outdoor kitchen,45
Proline refrigerator,45
Le petit marseillais body soap,45
Private hot tub - available all year,44
SMEG refrigerator,44
High chair - always at the listing,43
Miele refrigerator,42
Bose sound system,42
Game console: PS3,42
Devialet Bluetooth sound system,41
Siemens stainless steel oven,41
Garnier shampoo,41
heated,40
Shared gym in building,40
50 HDTV,40
Le Petit Marseillais body soap,39
Paid parking garage on premises – 100 spaces,39
40 HDTV,39
Shared pool,38
Whirlpool stainless steel oven,38
Savon de Marseille  body soap,38
Paid parking lot on premises – 1 space,38
42 HDTV with Amazon Prime Video,38
Private BBQ grill: electric,37
Le petit marseillais  body soap,37
Bosch oven,37
43 HDTV with standard cable,37
treadmill,37
32 TV,37
TV with premium cable,36
40 HDTV with Netflix,36
Cadum body soap,36
BBQ grill: electric,36
Game console: Nintendo Wii,35
Aesop shampoo,35
Booster seat high chair - available upon request,35
Gym nearby,34
Bioderma body soap,34
free weights,34
SISLEY body soap,34
SISLEY conditioner,34
Candy refrigerator,33
IKEA refrigerator,33
SISLEY shampoo,33
40 HDTV with Amazon Prime Video,31
65 HDTV with Netflix,31
open 24 hours,30
Garnier conditioner,29
Rituals body soap,29
Samsung  refrigerator,29
Harman Kardon Bluetooth sound system,28
Paid resort access,28
55 HDTV with Apple TV,28
43 HDTV with Chromecast,28
Paid parking garage on premises – 2 spaces,27
Dove shampoo,27
42 HDTV with Netflix,26
Petit marseillais  body soap,26
Hulu,26
Whirlpool induction stove,26
Folding or convertible high chair,26
Bose  Bluetooth sound system,26
TV with Disney+,26
AEG electric stove,25
Bosch electric stove,25
Faure refrigerator,25
Sauna,25
Elseve shampoo,25
Thomson refrigerator,25
Wifi – 31 Mbps,25
Bosch stainless steel single oven,25
BOSE Bluetooth sound system,24
Private pool,24
Whirlpool oven,24
Baby monitor - always at the listing,24
Electrolux electric stove,24
Roku,24
Game console: Xbox Series X,24
42 HDTV,24
TV with DVD player,24
Clamp on table seat high chair,24
Bosh refrigerator,23
Sony sound system with Bluetooth and aux,23
Bio conditioner,23
Divers body soap,23
Indesit refrigerator,23
AEG induction stove,23
SAMSUNG refrigerator,23
32 HDTV with Chromecast,23
Brandt refrigerator,23
Electrolux oven,23
Fast wifi – 296 Mbps,23
Samsung oven,23
Whirlpool electric stove,22
Elseve conditioner,22
Wifi – 20 Mbps,22
50 HDTV with standard cable,22
Marshall  Bluetooth sound system,22
Sanex  body soap,22
Petit marseillais body soap,22
Free resort access,22
Codage shampoo,22
Beach essentials,21
Wifi – 12 Mbps,21
32 HDTV with premium cable,21
Shared indoor pool - available all year,21
TV with Apple TV,21
55 HDTV with premium cable,21
65 HDTV,21
Wifi – 15 Mbps,21
50 HDTV with premium cable,21
Rituals shampoo,21
Dop shampoo,21
55 HDTV with Chromecast,21
Ikea oven,21
SONOS Bluetooth sound system,20
Wifi – 18 Mbps,20
Bose sound system with aux,20
BOSCH refrigerator,20
Free residential garage on premises,20
Wifi – 47 Mbps,20
Samsung stainless steel oven,20
Smeg gas stove,20
Game console: Xbox 360,20
Rituals conditioner,20
RITUALS body soap,20
Codage body soap,20
Siemens stainless steel single oven,20
Wifi – 16 Mbps,19
30 HDTV with standard cable,19
Exercise equipment: ,19
43 HDTV with premium cable,19
Haier refrigerator,19
50 HDTV with Chromecast,19
Petit Marseillais shampoo,19
Moulinex oven,19
Wifi – 27 Mbps,19
Yves Rocher body soap,19
Sony Bluetooth sound system,19
Electrolux stainless steel oven,19
Miele induction stove,18
Ikea stainless steel oven,18
Wifi – 36 Mbps,18
Whirlpool  refrigerator,18
Booster seat high chair,18
Samsung Bluetooth sound system,18
Klorane shampoo,18
Marseille body soap,18
Wifi – 10 Mbps,18
Wifi – 33 Mbps,18
Le Petit Marseillais shampoo,18
Fast wifi – 294 Mbps,18
Electrolux stainless steel induction stove,18
Savon de marseille body soap,18
Wifi – 30 Mbps,18
Private gym,18
Uriage body soap,18
Fast wifi – 291 Mbps,18
Shared outdoor pool - available all year,18
Booster seat high chair - always at the listing,18
LG induction stove,18
Sauter stainless steel oven,18
Yves Rocher shampoo,17
SONOS sound system,17
49 HDTV with Amazon Prime Video,17
Sauter induction stove,17
Yamaha sound system with Bluetooth and aux,17
Shared hot tub,17
Lake view,17
Apple Bluetooth sound system,17
Wifi – 32 Mbps,17
Smeg stainless steel oven,17
Wifi – 28 Mbps,17
Resort view,17
Paid high chair - available upon request,17
BEKO refrigerator,17
Game console: Nintendo Switch and PS4,17
Sapone body soap,17
55 HDTV with Disney+,16
Wifi – 25 Mbps,16
Wifi – 21 Mbps,16
Autre gas stove,16
Free driveway parking on premises – 1 space,16
Aesop conditioner,16
42 HDTV with standard cable,16
Le petit Marseillais body soap,16
Sony sound system with aux,16
Divers shampoo,16
Wifi – 9 Mbps,16
Washer – In building,16
L'Oréal shampoo,16
Le petit marseillais shampoo,16
Sapone shampoo,16
Wifi – 35 Mbps,15
Smeg stainless steel gas stove,15
Fast wifi – 93 Mbps,15
Dryer – In building,15
60 HDTV with Netflix,15
Whirpool refrigerator,15
Smeg induction stove,15
Miele oven,15
Fast wifi – 295 Mbps,15
Brandt stainless steel oven,14
24 TV with standard cable,14
Fast wifi – 57 Mbps,14
Free parking on premises – 1 space,14
Miele stainless steel oven,14
Marina view,14
Organic body soap,14
Wifi – 40 Mbps,14
Shared pool - available all year,14
Bay view,14
Smeg oven,14
45 HDTV with Amazon Prime Video,14
Keurig coffee machine,14
L'Occitane conditioner,14
JBL sound system with Bluetooth and aux,14
30 TV,14
Fast wifi – 50 Mbps,14
Marshall sound system,14
Wifi – 41 Mbps,14
Petit marseillais shampoo,14
Dove  body soap,14
40 HDTV with premium cable,13
Other induction stove,13
Moulinex stainless steel oven,13
Fast wifi – 62 Mbps,13
Ski-in/Ski-out,13
Moulinex refrigerator,13
Gel douche body soap,13
Wifi – 13 Mbps,13
Wifi – 11 Mbps,13
32 TV with standard cable,13
Wifi – 14 Mbps,13
Organic shampoo,13
Fast wifi – 53 Mbps,13
Fast wifi – 61 Mbps,13
Marseille  body soap,13
Fast wifi – 52 Mbps,13
Fast wifi – 65 Mbps,13
Brandt oven,13
Game console: PS2,13
Cadum  body soap,13
40 HDTV with Chromecast,13
Marshall  sound system with Bluetooth and aux,13
L'Occitane shampoo,13
Ironing board,13
LIEBHERR refrigerator,13
Candy stainless steel oven,13
Sonos sound system with Bluetooth and aux,13
42 HDTV with Chromecast,13
48 HDTV with Amazon Prime Video,13
50 HDTV with Apple TV,13
Wifi – 29 Mbps,12
65 HDTV with Apple TV,12
BOSE sound system with Bluetooth and aux,12
24 TV,12
Petit Marseillais  body soap,12
Brandt induction stove,12
Wifi – 26 Mbps,12
SIEMENS refrigerator,12
Fast wifi – 463 Mbps,12
BOSCH stainless steel oven,12
Savon body soap,12
Elseve  shampoo,12
Paid standalone high chair - available upon request,12
lap pool,12
Le petit marseillais  shampoo,12
Private BBQ grill: charcoal,12
Wifi – 19 Mbps,12
Autre stainless steel induction stove,12
Exercise equipment: treadmill,12
32 TV with Netflix,12
Paid dryer,12
Loreal shampoo,12
Denon sound system with Bluetooth and aux,11
Wifi – 37 Mbps,11
Wifi – 38 Mbps,11
Fast wifi – 284 Mbps,11
BBQ grill: charcoal,11
Siemens single oven,11
Yamaha Bluetooth sound system,11
Fast wifi – 483 Mbps,11
WHIRLPOOL refrigerator,11
Fast wifi – 333 Mbps,11
Dove conditioner,11
SIEMENS stainless steel oven,11
X body soap,11
Wifi – 44 Mbps,11
TV with Fire TV,11
Fast wifi – 255 Mbps,11
Nivea body soap,11
Paid washer,11
Siemens  refrigerator,11
Valley view,11
Fast wifi – 458 Mbps,11
48 HDTV with standard cable,11
BIO body soap,11
Sauter oven,11
Fast wifi – 297 Mbps,11
60 HDTV with Amazon Prime Video,11
45 HDTV with standard cable,11
80 HDTV with Amazon Prime Video,11
Autre stainless steel gas stove,11
Autre stainless steel electric stove,11
Fast wifi – 465 Mbps,11
Wifi – 39 Mbps,11
Wifi – 17 Mbps,11
olympic-sized,11
40 TV,11
Indoor fireplace: gas,11
Housekeeping - included with your stay,11
100 HDTV with Amazon Prime Video,11
Monoprix body soap,11
49 HDTV with Netflix,11
Marseillais body soap,11
RITUALS shampoo,11
75 HDTV with Amazon Prime Video,11
Public or shared beach access,10
De Dietrich oven,10
Fast wifi – 467 Mbps,10
Klorane conditioner,10
Fast wifi – 54 Mbps,10
Head and shoulders shampoo,10
Shared gym,10
L'occitane body soap,10
IKEA  refrigerator,10
Sonos sound system with aux,10
Wifi – 34 Mbps,10
Fast wifi – 51 Mbps,10
Free parking garage on premises – 2 spaces,10
Wifi – 7 Mbps,10
Hisense refrigerator,10
Wifi – 22 Mbps,10
Samsung stainless steel single oven,10
Fast wifi – 73 Mbps,10
Fast wifi – 364 Mbps,10
Wifi – 48 Mbps,10
Head & Shoulders shampoo,10
Fast wifi – 287 Mbps,10
Fast wifi – 70 Mbps,10
45 HDTV,10
Jbl Bluetooth sound system,10
Sony sound system,10
Wifi – 24 Mbps,10
Fast wifi – 412 Mbps,10
Divers conditioner,10
Electrolux stainless steel single oven,10
Fast wifi – 448 Mbps,10
Private outdoor kitchen,10
Weleda body soap,10
Fast wifi – 343 Mbps,10
SMEG oven,10
Fast wifi – 350 Mbps,10
L'Oréal conditioner,10
Samsung stainless steel double oven,10
Fast wifi – 474 Mbps,10
Bosh stainless steel oven,10
Schneider refrigerator,10
AEG refrigerator,10
DOVE body soap,9
Palmolive body soap,9
Fast wifi – 442 Mbps,9
Denon Bluetooth sound system,9
Fast wifi – 228 Mbps,9
Yamaha sound system with aux,9
Brandt single oven,9
Fast wifi – 505 Mbps,9
30 TV with standard cable,9
Fast wifi – 432 Mbps,9
Fast wifi – 83 Mbps,9
Bang & Olufsen Bluetooth sound system,9
wood-burning,9
52 HDTV with Amazon Prime Video,9
85 HDTV with Amazon Prime Video,9
Fast wifi – 145 Mbps,9
Fast wifi – 439 Mbps,9
45 HDTV with premium cable,9
Fast wifi – 60 Mbps,9
65 HDTV with standard cable,9
Ikea induction stove,9
L'Oreal shampoo,9
Gorenje refrigerator,9
Far refrigerator,9
32 TV with Amazon Prime Video,9
Siemens electric stove,9
70 HDTV with Amazon Prime Video,9
LG electric stove,9
Fast wifi – 94 Mbps,9
Ushuaia body soap,9
Fast wifi – 276 Mbps,9
Harbor view,9
Smeg single oven,9
Google Home Bluetooth sound system,9
HDTV with Fire TV,9
Samsung induction stove,9
24 HDTV,9
Fast wifi – 307 Mbps,9
Apple sound system,9
De Dietrich stainless steel oven,9
Fast wifi – 453 Mbps,9
48 HDTV,9
Devialet sound system,9
65 HDTV with Chromecast,9
Fast wifi – 328 Mbps,9
Fast wifi – 250 Mbps,9
Whirlpool single oven,9
Candy oven,9
DOP shampoo,9
SVR body soap,9
Shampoo shampoo,9
Fast wifi – 292 Mbps,9
L'oreal shampoo,9
Fast wifi – 464 Mbps,9
MIELE refrigerator,8
Monsavon body soap,8
Fast wifi – 64 Mbps,8
Fast wifi – 449 Mbps,8
Loreal conditioner,8
Fast wifi – 265 Mbps,8
Private BBQ grill: gas,8
Wifi – 43 Mbps,8
Bosh oven,8
Fast wifi – 499 Mbps,8
Philips Bluetooth sound system,8
Fast wifi – 468 Mbps,8
Wifi – 23 Mbps,8
Fast wifi – 288 Mbps,8
Fast wifi – 140 Mbps,8
De Dietrich induction stove,8
Fast wifi – 479 Mbps,8
Fast wifi – 425 Mbps,8
Variable body soap,8
60 HDTV with standard cable,8
20 TV,8
BOSE sound system with aux,8
Wifi – 6 Mbps,8
Fast wifi – 115 Mbps,8
Fast wifi – 322 Mbps,8
Fast wifi – 153 Mbps,8
30 HDTV with Netflix,8
45 HDTV with Netflix,8
Gel douche  body soap,8
Fast wifi – 302 Mbps,8
Petit marseillais  shampoo,8
Elseve  conditioner,8
Bioderma  body soap,8
Paid parking lot on premises – 100 spaces,8
Indesit  refrigerator,8
Fast wifi – 477 Mbps,8
rooftop,8
Whirlpool stainless steel single oven,8
Electrolux stainless steel electric stove,8
Fast wifi – 69 Mbps,8
Samsung sound system with Bluetooth and aux,8
30 HDTV with premium cable,8
L'Occitane body soap,8
Fast wifi – 204 Mbps,8
Fast wifi – 151 Mbps,8
ELECTROLUX refrigerator,8
Fast wifi – 92 Mbps,8
? refrigerator,8
Vineyard view,8
Bose  sound system with Bluetooth and aux,8
30 HDTV,8
SANEX body soap,8
Boat slip,8
Fast wifi – 240 Mbps,8
Fast wifi – 318 Mbps,8
Fast wifi – 237 Mbps,8
Fast wifi – 242 Mbps,8
Fast wifi – 377 Mbps,8
Samsung single oven,8
Fast wifi – 454 Mbps,8
43 HDTV with Disney+,8
Paid parking lot on premises – 10 spaces,8
120 HDTV with Amazon Prime Video,8
Fast wifi – 494 Mbps,8
Fast wifi – 290 Mbps,8
55 TV,8
Fast wifi – 221 Mbps,8
Fast wifi – 416 Mbps,8
Neff oven,8
L’Oréal shampoo,8
LG Bluetooth sound system,8
Monoprix shampoo,8
BioSecure body soap,8
Marshall sound system with aux,8
Game console: Nintendo Switch and PS5,8
Electrolux  stainless steel oven,8
Fast wifi – 59 Mbps,7
Naturalia body soap,7
Whirpool stainless steel oven,7
Fast wifi – 208 Mbps,7
Denon sound system,7
Fast wifi – 381 Mbps,7
CANDY refrigerator,7
75 HDTV with Netflix,7
Le Petit Marseillais  body soap,7
Bosch gas stove,7
26 HDTV with standard cable,7
X shampoo,7
X refrigerator,7
Fast wifi – 421 Mbps,7
Wifi – 46 Mbps,7
46 HDTV with Netflix,7
Neff stainless steel oven,7
Fast wifi – 312 Mbps,7
Fast wifi – 186 Mbps,7
Fast wifi – 369 Mbps,7
Fast wifi – 130 Mbps,7
Ushuaia  body soap,7
Fast wifi – 161 Mbps,7
Beach access,7
Fast wifi – 359 Mbps,7
Fast wifi – 281 Mbps,7
Fast wifi – 341 Mbps,7
Fast wifi – 104 Mbps,7
Fast wifi – 329 Mbps,7
L.A. Bruket body soap,7
BBQ grill: gas,7
Fast wifi – 259 Mbps,7
49 HDTV with standard cable,7
IKEA stainless steel single oven,7
48 HDTV with Netflix,7
65 HDTV with premium cable,7
Fast wifi – 299 Mbps,7
43 HDTV with Apple TV,7
Fast wifi – 282 Mbps,7
Fast wifi – 107 Mbps,7
Fast wifi – 289 Mbps,7
Fast wifi – 313 Mbps,7
Faure oven,7
Fast wifi – 68 Mbps,7
120 HDTV with Netflix,7
Fast wifi – 473 Mbps,7
Fast wifi – 234 Mbps,7
Fast wifi – 336 Mbps,7
Wifi – 49 Mbps,7
Fast wifi – 314 Mbps,7
Smeg stainless steel induction stove,7
Fast wifi – 156 Mbps,7
Devialet sound system with Bluetooth and aux,7
24 HDTV with Netflix,7
Paid crib,7
40 HDTV with Apple TV,7
43 TV with Netflix,7
Fast wifi – 373 Mbps,7
Steam room,7
Wifi – 2 Mbps,7
Fast wifi – 261 Mbps,7
Ariston refrigerator,7
Fast wifi – 480 Mbps,7
Fast wifi – 484 Mbps,7
Fast wifi – 455 Mbps,7
Boose Bluetooth sound system,7
Paid valet parking on premises,7
15 TV with Netflix,7
THOMSON refrigerator,7
Aesop  body soap,7
SIEMENS oven,7
Fast wifi – 375 Mbps,7
75 HDTV,7
Google Bluetooth sound system,7
Fast wifi – 274 Mbps,7
Fast wifi – 235 Mbps,7
Fast wifi – 452 Mbps,7
Fast wifi – 457 Mbps,7
SMEG stainless steel oven,7
Fast wifi – 273 Mbps,7
NEFF stainless steel oven,7
Naturalia  shampoo,7
Fast wifi – 280 Mbps,7
Bosch stainless steel electric stove,7
Fast wifi – 283 Mbps,7
Fast wifi – 429 Mbps,7
Fast wifi – 230 Mbps,7
Klarstein refrigerator,7
IKEA stainless steel oven,7
USU shampoo,7
Head and Shoulders shampoo,7
NUXE body soap,7
Fast wifi – 184 Mbps,7
Fast wifi – 218 Mbps,7
Dop  shampoo,7
Electrolux  oven,7
Free driveway parking on premises,7
Moulinex stainless steel single oven,7
Fast wifi – 401 Mbps,6
Denon sound system with aux,6
Whirlpool  stainless steel oven,6
47 HDTV with Amazon Prime Video,6
Fast wifi – 430 Mbps,6
L’Oréal  conditioner,6
Fast wifi – 229 Mbps,6
Fast wifi – 260 Mbps,6
Fast wifi – 315 Mbps,6
Fast wifi – 308 Mbps,6
Whirlpool  oven,6
Fast wifi – 428 Mbps,6
32 HDTV with DVD player,6
Fast wifi – 411 Mbps,6
Fast wifi – 482 Mbps,6
Indoor fireplace: pellet stove,6
Miele electric stove,6
Miele single oven,6
Dop body soap,6
Franck Provost shampoo,6
Fast wifi – 55 Mbps,6
IKEA  stainless steel oven,6
GARNIER shampoo,6
Fast wifi – 522 Mbps,6
Fast wifi – 176 Mbps,6
Whirpool oven,6
Bio  body soap,6
Fast wifi – 119 Mbps,6
JBL sound system,6
Fast wifi – 338 Mbps,6
Devialet  Bluetooth sound system,6
Organic  body soap,6
Fast wifi – 84 Mbps,6
Fast wifi – 426 Mbps,6
Wifi – 8 Mbps,6
Siemens stainless steel induction stove,6
Smeg electric stove,6
Mountain view,6
Savon d'Alep body soap,6
Fast wifi – 306 Mbps,6
Fast wifi – 348 Mbps,6
42 HDTV with premium cable,6
Fast wifi – 90 Mbps,6
Fast wifi – 182 Mbps,6
Game console: Nintendo Wii U,6
30 HDTV with Amazon Prime Video,6
LG oven,6
Fast wifi – 478 Mbps,6
MARSHALL Bluetooth sound system,6
Bose  sound system,6
Furterer shampoo,6
Fast wifi – 263 Mbps,6
Fast wifi – 310 Mbps,6
Fast wifi – 495 Mbps,6
Faure stainless steel oven,6
Fast wifi – 262 Mbps,6
Fast wifi – 286 Mbps,6
Fast wifi – 424 Mbps,6
Miele stainless steel single oven,6
Fast wifi – 185 Mbps,6
Fast wifi – 384 Mbps,6
L'Oréal  shampoo,6
Fast wifi – 141 Mbps,6
Beach view,6
Sea view,6
Pool view,6
Samsung electric stove,6
Fast wifi – 198 Mbps,6
Fast wifi – 391 Mbps,6
Fast wifi – 471 Mbps,6
Fast wifi – 236 Mbps,6
Fast wifi – 300 Mbps,6
AESOP body soap,6
100 HDTV,6
Fast wifi – 349 Mbps,6
BOSH refrigerator,6
Fast wifi – 257 Mbps,6
Fast wifi – 278 Mbps,6
Alep body soap,6
Wifi – 42 Mbps,6
Butler service – included with your stay,6
Kayak,6
Paid pack ’n play/travel crib - always at the listing,6
Fast wifi – 253 Mbps,6
120 HDTV,6
40 TV with Netflix,6
42 HDTV with Apple TV,6
Fast wifi – 417 Mbps,6
FAURE refrigerator,6
80 HDTV with Netflix,6
Fast wifi – 447 Mbps,6
Fast wifi – 127 Mbps,6
Elsève conditioner,6
135 HDTV with standard cable,6
Fast wifi – 367 Mbps,6
Fast wifi – 91 Mbps,6
Smeg  refrigerator,6
Smeg stainless steel single oven,6
Fast wifi – 118 Mbps,6
Sonos  Bluetooth sound system,6
Roger Cavailles body soap,6
Fast wifi – 521 Mbps,6
Fast wifi – 239 Mbps,6
Occitane body soap,6
Occitane conditioner,6
100 HDTV with Netflix,6
Rosieres oven,6
Candy stainless steel single oven,6
Occitane shampoo,6
Variable shampoo,6
Produits de qualité,6
Biocoop body soap,6
. electric stove,6
Electrolux  refrigerator,6
Fast wifi – 134 Mbps,6
Fast wifi – 451 Mbps,6
Fast wifi – 219 Mbps,6
Fast wifi – 316 Mbps,6
Le Petit Marseillais conditioner,6
L’Oréal  shampoo,6
Samsung  oven,6
43 TV with Amazon Prime Video,6
Fast wifi – 194 Mbps,5
Harman Kardon sound system with Bluetooth and aux,5
Fast wifi – 293 Mbps,5
Marseillais  body soap,5
Fast wifi – 386 Mbps,5
Fast wifi – 319 Mbps,5
Savon solide body soap,5
Fast wifi – 436 Mbps,5
URIAGE body soap,5
Moulinex single oven,5
Fast wifi – 435 Mbps,5
Siemens gas stove,5
Fast wifi – 438 Mbps,5
Head & shoulders shampoo,5
AEG stainless steel electric stove,5
80 HDTV with standard cable,5
55 HDTV with DVD player,5
Fast wifi – 66 Mbps,5
Fast wifi – 95 Mbps,5
Fast wifi – 106 Mbps,5
Fast wifi – 612 Mbps,5
Yamaha sound system,5
Roger Cavaillès body soap,5
Fast wifi – 475 Mbps,5
Seb oven,5
Naturalia shampoo,5
Naturalia  body soap,5
Bose  sound system with aux,5
Fast wifi – 515 Mbps,5
85 HDTV with standard cable,5
